# ASY+PE method (with partition functions): 527 integration steps in 4.0490e-03 seconds
# All double quantities are log10(x); rates in units of s^-1
#
#      t       dt  1/Rmin   Reaction Rmin    1/Rmax  Reaction Rmax
-10.9292 -11.8928  8.3296 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.8792 -11.8428  8.2296 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.8292 -11.7929  8.1296 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.7792 -11.7429  8.0297 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.7292 -11.6929  7.9297 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.6792 -11.6429  7.8297 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.6293 -11.5929  7.7297 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.5793 -11.5429  7.6298 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.5293 -11.4929  7.5298 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.4793 -11.4429  7.4298 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.4293 -11.3929  7.3298 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.3793 -11.3429  7.2299 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.3293 -11.2929  7.1299 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.2793 -11.2429  7.0299 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.2293 -11.1929  6.9300 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.1793 -11.1429  6.8300 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.1293 -11.0930  6.7300 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.0793 -11.0430  6.6301 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.0293 -10.9930  6.5301 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.9793 -10.9430  6.4302 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.9294 -10.8930  6.3303 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.8794 -10.8430  6.2303 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.8294 -10.7930  6.1304 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.7794 -10.7430  6.0305 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.7294 -10.6930  5.9306 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.6794 -10.6430  5.8307 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.6294 -10.5930  5.7308 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.5794 -10.5430  5.6309 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.5294 -10.4930  5.5310 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.4794 -10.4430  5.4311 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.4294 -10.3931  5.3313 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.3794 -10.3431  5.2315 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.3294 -10.2931  5.1317 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.2794 -10.2431  5.0319 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.2295 -10.1931  4.9321 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.1795 -10.1431  4.8324 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.1295 -10.0931  4.7327 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.0795 -10.0431  4.6330 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.0295 -9.9931  4.5334 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.9795 -9.9431  4.4338 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.9295 -9.8931  4.3343 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.8795 -9.8431  4.2348 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.8295 -9.7931  4.1354 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.7795 -9.7431  4.0360 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.7295 -9.6932  3.9368 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.6795 -9.6432  3.8376 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.6295 -9.5932  3.7385 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.5795 -9.5432  3.6395 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.5296 -9.4932  3.5407 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.4796 -9.4432  3.4420 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.4296 -9.3932  3.3434 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.3796 -9.3432  3.2450 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.3296 -9.2932  3.1468 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.2796 -9.2432  3.0488 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.2296 -9.1932  2.9511 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.1796 -9.1432  2.8536 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.1296 -9.0932  2.7565 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.0796 -9.0432  2.6597 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-8.0296 -8.9933  2.5633 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-7.9796 -8.9433  2.4673 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-7.9296 -8.8933  2.3717 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-7.8796 -8.8433  2.2768 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-7.8297 -8.7933  2.1824 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-7.7797 -8.7433  2.0887 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-7.7297 -8.6933  1.9957 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-7.6797 -8.6433  1.9036 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-7.6297 -8.5933  1.8125 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-7.5797 -8.5433  1.7223 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-7.5297 -8.4933  1.6334 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-7.4797 -8.4433  1.5457 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-7.4297 -8.3933  1.4595 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-7.3797 -8.3433  1.3749 he4+he4+he4-->c12 -5.0836 he4+c12-->o16
-7.3297 -8.2934  1.2921 he4+he4+he4-->c12 -5.1250 he4+c12-->o16
-7.2797 -8.2434  1.2112 he4+he4+he4-->c12 -5.1654 he4+c12-->o16
-7.2297 -8.1934  1.1326 he4+he4+he4-->c12 -5.2047 he4+c12-->o16
-7.1797 -8.1434  1.0563 he4+he4+he4-->c12 -5.2429 he4+c12-->o16
-7.1298 -8.0934  0.9827 he4+he4+he4-->c12 -5.2797 he4+c12-->o16
-7.0798 -8.0434  0.9119 he4+he4+he4-->c12 -5.3151 he4+c12-->o16
-7.0298 -7.9934  0.8443 he4+he4+he4-->c12 -5.3489 he4+c12-->o16
-6.9798 -7.9434  0.7801 he4+he4+he4-->c12 -5.3810 he4+c12-->o16
-6.9298 -7.8934  0.7195 he4+he4+he4-->c12 -5.4112 he4+c12-->o16
-6.8798 -7.8434  0.6629 he4+he4+he4-->c12 -5.4395 he4+c12-->o16
-6.8298 -7.7934  0.6105 he4+he4+he4-->c12 -5.4658 he4+c12-->o16
