# ASY method (with partition functions): 2666 integration steps in 6.5080e-03 seconds
# All double quantities are log10(x); rates in units of s^-1
#
#      t       dt  1/Rmin   Reaction Rmin    1/Rmax  Reaction Rmax
-10.9488 -12.1529  8.2421 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.9208 -12.1249  8.1860 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.8928 -12.0969  8.1300 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.8647 -12.0688  8.0739 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.8367 -12.0408  8.0179 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.8087 -12.0128  7.9618 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.7806 -11.9848  7.9058 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.7526 -11.9567  7.8497 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.7246 -11.9287  7.7937 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.6966 -11.9007  7.7376 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.6685 -11.8726  7.6816 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.6125 -11.8166  7.5695 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.5844 -11.7886  7.5134 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.5564 -11.7605  7.4574 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.5284 -11.7325  7.4013 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.5004 -11.7045  7.3453 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.4723 -11.6764  7.2892 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.4443 -11.6484  7.2332 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.4163 -11.6204  7.1771 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.3882 -11.5924  7.1211 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.3602 -11.5643  7.0650 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.3322 -11.5363  7.0090 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.3041 -11.5083  6.9529 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.2761 -11.4802  6.8969 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.2481 -11.4522  6.8408 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.1920 -11.3962  6.7288 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.1640 -11.3681  6.6727 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.1360 -11.3401  6.6167 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.1079 -11.3121  6.5606 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.0799 -11.2840  6.5046 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.0519 -11.2560  6.4486 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-10.0239 -11.2280  6.3925 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.9958 -11.2000  6.3365 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.9678 -11.1719  6.2805 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.9398 -11.1439  6.2245 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.9117 -11.1159  6.1684 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.8837 -11.0878  6.1124 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.8557 -11.0598  6.0564 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.8277 -11.0318  6.0004 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.7996 -11.0038  5.9444 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.7436 -10.9477  5.8323 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.7155 -10.9197  5.7763 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.6875 -10.8916  5.7203 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.6595 -10.8636  5.6643 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.6315 -10.8356  5.6083 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.6034 -10.8076  5.5523 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.5754 -10.7795  5.4963 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
-9.5474 -10.7515  5.4404 he4+he4+he4-->c12 -5.0707 c12-->he4+he4+he4
