
#    t     dt   F+(4He)   F+(12C)   F+(16O)   F+(20Ne)   F+(24Mg)   F+(28Si)   F+(32S)   F+(36Ar)   F+(40Ca)   F+(44Ti)   F+(48Cr)   F+(52Fe)   F+(56Ni)   F+(60Zn)   F+(64Ge)   F+(68Se)   F-(4He)   F-(12C)   F-(16O)   F-(20Ne)   F-(24Mg)   F-(28Si)   F-(32S)   F-(36Ar)   F-(40Ca)   F-(44Ti)   F-(48Cr)   F-(52Fe)   F-(56Ni)   F-(60Zn)   F-(64Ge)   F-(68Se)   dF(4He)   dF(12C)   dF(16O)   dF(20Ne)   dF(24Mg)   dF(28Si)   dF(32S)   dF(36Ar)   dF(40Ca)   dF(44Ti)   dF(48Cr)   dF(52Fe)   dF(56Ni)   dF(60Zn)   dF(64Ge)   dF(68Se)   
-17.083 -18.083 9.567e+00 6.859e+00 2.637e+00 9.549e+00 8.157e+00 6.400e+00 -7.966e+00 -2.339e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 8.838e-01 9.858e+00 8.193e+00 2.636e+00 -7.889e-01 -3.260e+00 -1.622e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -7.966e+00 -2.339e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.000 -18.000 9.567e+00 6.859e+00 2.720e+00 9.549e+00 8.157e+00 6.400e+00 -7.800e+00 -2.312e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.667e-01 9.858e+00 8.193e+00 2.719e+00 -7.061e-01 -3.177e+00 -1.597e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -7.800e+00 -2.312e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.959 -17.959 9.567e+00 6.859e+00 2.762e+00 9.549e+00 8.157e+00 6.400e+00 -7.717e+00 -2.297e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 1.008e+00 9.858e+00 8.193e+00 2.760e+00 -6.646e-01 -3.136e+00 -1.584e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -7.717e+00 -2.297e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.876 -17.876 9.567e+00 6.859e+00 2.844e+00 9.549e+00 8.157e+00 6.400e+00 -7.551e+00 -2.266e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 1.091e+00 9.858e+00 8.193e+00 2.843e+00 -5.818e-01 -3.053e+00 -1.560e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -7.551e+00 -2.266e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.793 -17.793 9.567e+00 6.859e+00 2.927e+00 9.549e+00 8.157e+00 6.400e+00 -7.386e+00 -2.234e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 1.174e+00 9.858e+00 8.193e+00 2.926e+00 -4.989e-01 -2.970e+00 -1.535e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -7.386e+00 -2.234e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.711 -17.711 9.567e+00 6.859e+00 3.010e+00 9.549e+00 8.157e+00 6.400e+00 -7.220e+00 -2.201e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 1.257e+00 9.858e+00 8.193e+00 3.009e+00 -4.161e-01 -2.887e+00 -1.510e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -7.220e+00 -2.201e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.628 -17.628 9.567e+00 6.859e+00 3.093e+00 9.549e+00 8.157e+00 6.400e+00 -7.054e+00 -2.168e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 1.339e+00 9.858e+00 8.193e+00 3.092e+00 -3.333e-01 -2.804e+00 -1.485e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -7.054e+00 -2.168e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.545 -17.545 9.567e+00 6.859e+00 3.176e+00 9.549e+00 8.157e+00 6.400e+00 -6.889e+00 -2.135e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 1.422e+00 9.858e+00 8.193e+00 3.174e+00 -2.504e-01 -2.721e+00 -1.460e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -6.889e+00 -2.135e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.462 -17.462 9.567e+00 6.859e+00 3.259e+00 9.549e+00 8.157e+00 6.400e+00 -6.723e+00 -2.102e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 1.505e+00 9.858e+00 8.193e+00 3.257e+00 -1.676e-01 -2.639e+00 -1.435e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -6.723e+00 -2.102e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-16.380 -17.380 9.567e+00 6.859e+00 3.341e+00 9.549e+00 8.157e+00 6.400e+00 -6.557e+00 -2.069e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 1.588e+00 9.858e+00 8.193e+00 3.340e+00 -8.482e-02 -2.556e+00 -1.410e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 9.567e+00 9.858e+00 8.193e+00 9.549e+00 8.157e+00 6.400e+00 -6.557e+00 -2.069e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
