# ASY method (no partition functions): 4067265 integration steps in 7.7646e+01 seconds
# All quantities except Asy, RG_PE, and sumX are log10(x)
# Log of absolute values for E and dE/dt as they can be negative
# Units: t and dt in s; E in erg; dE/dt in erg/g/s; others dimensionless 
#
#    t     dt     |E|  |dE/dt| Asy  Equil  sumX  X(4He)     X(12C)     X(16O)     X(20Ne)     X(24Mg)     X(28Si)     X(32S)     X(36Ar)     X(40Ca)     X(44Ti)     X(48Cr)     X(52Fe)     X(56Ni)     X(60Zn)     X(64Ge)     X(68Se)     

-17.911 -18.911 10.304 28.219 0.000 0.000 1.000 -7.745e+00 -3.010e-01 -3.010e-01 -7.065e+00 -8.377e+00 -1.007e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.828 -18.828 10.388 28.219 0.000 0.000 1.000 -7.662e+00 -3.010e-01 -3.010e-01 -6.982e+00 -8.294e+00 -9.984e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.745 -18.745 10.471 28.219 0.000 0.000 1.000 -7.578e+00 -3.010e-01 -3.010e-01 -6.898e+00 -8.210e+00 -9.901e+00 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.663 -18.663 10.554 28.219 0.000 0.000 1.000 -7.495e+00 -3.010e-01 -3.010e-01 -6.815e+00 -8.127e+00 -9.818e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.580 -18.580 10.637 28.219 0.000 0.000 1.000 -7.412e+00 -3.010e-01 -3.010e-01 -6.732e+00 -8.044e+00 -9.735e+00 -2.399e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.497 -18.497 10.720 28.219 0.000 0.000 1.000 -7.329e+00 -3.010e-01 -3.010e-01 -6.649e+00 -7.961e+00 -9.652e+00 -2.398e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.414 -18.414 10.803 28.219 0.000 0.000 1.000 -7.246e+00 -3.010e-01 -3.010e-01 -6.566e+00 -7.878e+00 -9.569e+00 -2.396e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.332 -18.332 10.886 28.219 0.000 0.000 1.000 -7.163e+00 -3.010e-01 -3.010e-01 -6.483e+00 -7.795e+00 -9.486e+00 -2.393e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.249 -18.249 10.969 28.219 0.000 0.000 1.000 -7.080e+00 -3.010e-01 -3.010e-01 -6.400e+00 -7.712e+00 -9.403e+00 -2.388e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
-17.166 -18.166 11.052 28.219 0.000 0.000 1.000 -6.997e+00 -3.010e-01 -3.010e-01 -6.317e+00 -7.629e+00 -9.320e+00 -2.381e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01 -2.400e+01
